ID,DEFAULT,SECTOR,SUBSECTOR,O1000,O1200,O6000,P1000,P3000,P5000,N1000,N1100,N1300,N3000,N3200,N3300,M0000,M1100,M1200,M1300,M2200,M2300,M2400,CONTRACT_SUM,CONTRACT_TYPE,CONTRACT_SUBTYPE,DIM_DENOM_DEV_ID,MODE,FREQ,UK,PH,KKV,EXPOSURE,SIZE_CAT,EXPSHARE,DUR,ENTITY,MONTH,DAY
11,0,BH,C,6041392.0,130789.0,21849.0,58357.0,53949.0,51402.0,483835.0,143355.0,305181.0,1126894.0,0.0,1076746.0,1513242.0,677,229356.0,2168.0,330840,0,14959.0,6275277,A,G,C,F,B,,,,,kat6,2.1,0.5,entity13,1,3
12,0,BJ,G,3359863.0,36347.0,33330.0,189236.0,202584.0,194807.0,779954.0,52069.0,0.0,1035044.0,115165.0,908890.0,1772500.0,60198,645934.0,53262.0,485059,0,82516.0,64042596,A,C,C,F,B,13.5311,2.0,1.0,116446396.0,kat5,1.1,1.0,entity12,1,4
13,0,BJ,F,433202.0,0.0,1417.0,9800.0,8056.0,7159.0,20394.0,5024.0,0.0,49826.0,0.0,50879.0,70400.0,3614,817.0,0.0,34141,0,76.0,9999889,A,D,C,J,C,15.3422,2.0,1.0,24101956.0,kat3,0.0,0.8,entity12,1,4
14,0,BN,D,989261.0,0.0,38620.0,40926.0,35124.0,33777.0,95310.0,3931.0,0.0,391177.0,94123.0,285271.0,483828.0,342,191621.0,0.0,204343,0,50153.0,71729,C,G,B,H,F,0.7564,2.0,1.0,64446.0,kat5,0.0,3.1,entity10,1,4
15,0,CD,C,55113.0,0.0,3759.0,5675.0,5257.0,5080.0,22064.0,3037.0,0.0,5942.0,352.0,5606.0,26599.0,62,9875.0,0.0,9294,0,4330.0,3028026,B,D,C,L,B,0.0,2.0,2.0,215599.0,kat2,0.0,0.9,entity14,1,3
16,0,BN,D,711770.0,0.0,51686.0,36944.0,27407.0,29125.0,96965.0,3055.0,0.0,313941.0,285428.0,47091.0,418509.0,0,270900.0,0.0,136692,0,25040.0,7828880,C,G,C,B,F,,,,,kat2,0.0,6.1,entity15,1,4
17,0,BH,C,1985352.0,0.0,6350.0,16098.0,10716.0,6492.0,240778.0,6014.0,0.0,342923.0,47411.0,285263.0,586398.0,0,39517.0,0.0,236337,0,78965.0,9300510,A,G,C,F,B,,,,,kat5,0.0,0.2,entity13,1,4
18,1,BQ,E,47811.0,0.0,1293.0,207.0,121.0,36.0,2000.0,93.0,0.0,8154.0,2927.0,5276.0,11361.0,0,5072.0,0.0,969,0,1662.0,3583082,C,G,C,C,F,2.5001,2.0,1.0,0.0,kat2,0.0,5.0,entity13,1,4
19,0,CM,D,113560.0,0.0,1359.0,25673.0,25712.0,24533.0,40419.0,2974.0,0.0,12890.0,0.0,11383.0,53526.0,0,4213.0,0.0,15133,0,17918.0,7026493,A,C,C,J,C,4.2008,2.0,1.0,0.0,kat5,0.0,1.0,entity16,1,3
20,0,BG,E,16290.0,0.0,1123.0,3447.0,3367.0,2288.0,44597.0,10.0,0.0,5943.0,242.0,5737.0,50027.0,0,1984.0,0.0,46982,0,1615.0,3918747,A,D,C,L,F,4.1789,2.0,1.0,3799859.0,kat2,0.0,1.0,entity17,1,5
21,0,AJ,C,194934.0,0.0,15738.0,22453.0,21884.0,19915.0,67749.0,2961.0,0.0,12665.0,3289.0,9006.0,81817.0,0,58713.0,0.0,14527,0,4936.0,10121909,A,D,C,L,B,0.3301,2.0,1.0,2660098.0,kat4,0.0,1.0,entity3,1,4
22,0,AT,C,32417.0,0.0,1667.0,425.0,172.0,101.0,29767.0,2929.0,0.0,14535.0,0.0,12935.0,44401.0,0,12148.0,0.0,25242,0,3171.0,2938130,A,C,C,L,B,4.1175,2.0,1.0,536526.0,kat3,0.0,1.0,entity2,1,3
23,0,BG,K,617885.0,0.0,11814.0,136035.0,129274.0,110909.0,146931.0,3043.0,0.0,88752.0,0.0,87474.0,226442.0,0,70838.0,5713.0,119468,0,23054.0,3736390,C,G,C,P,F,5.0552,2.0,1.0,1960439.0,kat3,0.0,5.0,entity10,1,5
24,0,BQ,C,115870.0,0.0,4967.0,6023.0,5894.0,5411.0,14702.0,2975.0,0.0,127008.0,38104.0,22972.0,156667.0,0,27309.0,38428.0,79484,0,1017.0,2083167,C,G,C,P,F,6.1077,2.0,1.0,1630828.0,kat3,0.0,4.1,entity10,1,5
25,0,AX,K,483263.0,0.0,26172.0,29797.0,28563.0,19198.0,316869.0,2474.0,0.0,54623.0,28966.0,24781.0,368336.0,0,137525.0,177664.0,34604,0,3877.0,4776318,C,G,C,P,F,5.689,2.0,1.0,2376551.0,kat5,0.0,5.1,entity12,1,4
26,1,BJ,D,29536.0,0.0,741.0,2671.0,2688.0,2497.0,12396.0,3832.0,0.0,7792.0,0.0,7852.0,20083.0,0,11562.0,0.0,8117,0,645.0,5059281,A,D,C,L,B,4.1789,2.0,1.0,4605645.0,kat1,0.0,1.0,entity20,1,4
27,0,BH,C,17051698.0,482068.0,122542.0,427860.0,423907.0,418223.0,3295487.0,187974.0,0.0,4115144.0,237035.0,3830988.0,7417158.0,1473,3701528.0,232993.0,742879,0,51738.0,11158016,A,C,C,F,B,,,,,kat7,2.9,0.5,entity9,1,5
28,0,BH,D,3935659.0,0.0,114023.0,419209.0,403573.0,379840.0,632706.0,2927.0,0.0,1064815.0,294151.0,728750.0,1705558.0,444,863621.0,0.0,78118,0,64606.0,2557377,A,C,C,F,B,,,,,kat6,0.0,0.5,entity9,1,5
29,0,BH,C,2545104.0,27799.0,20625.0,40021.0,35630.0,33880.0,52215.0,3049.0,302161.0,557029.0,0.0,553932.0,610857.0,279,122677.0,0.0,89297,0,637.0,4754771,A,G,C,F,B,,,,,kat5,1.1,0.1,entity13,1,5
30,0,BH,C,824619.0,0.0,7788.0,9818.0,8590.0,7159.0,263552.0,4015.0,0.0,227089.0,0.0,238501.0,519141.0,0,229231.0,0.0,35462,0,3066.0,3973347,A,G,C,F,B,,,,,kat4,0.0,0.3,entity13,1,5
31,0,BH,D,6812836.0,197541.0,23218.0,27765.0,20417.0,7529.0,265676.0,57039.0,0.0,2523465.0,273140.0,2146581.0,2710763.0,10019,112852.0,92834.0,1570893,0,36824.0,4894300,C,C,C,J,H,,,,,kat7,2.9,1.0,entity21,1,5
32,0,BH,C,5768652.0,911821.0,46289.0,123422.0,135530.0,112098.0,180490.0,17168.0,28237.0,1430603.0,0.0,1364561.0,1567351.0,948,158097.0,0.0,283040,0,3292.0,9784980,A,C,C,F,B,,,,,kat6,15.6,0.7,entity22,1,5
33,0,BI,H,7830061.0,238185.0,1573767.0,400582.0,227755.0,210406.0,690731.0,53924.0,767557.0,9438458.0,5623607.0,3697150.0,11047498.0,9590,7659534.0,0.0,849099,0,859930.0,35179,C,G,B,B,B,,,,,kat6,3.0,7.1,entity23,1,3
34,0,AN,D,79489.0,0.0,946.0,1897.0,1687.0,1679.0,7880.0,2978.0,0.0,19753.0,694.0,18896.0,26430.0,0,3352.0,0.0,10597,0,9879.0,937142,C,G,C,C,F,10.1866,2.0,1.0,797272.0,kat2,0.0,3.0,entity16,1,3
35,0,AD,K,17385.0,0.0,90.0,1823.0,1737.0,1688.0,9633.0,3010.0,0.0,1.0,0.0,0.0,9510.0,0,12.0,0.0,5003,0,4582.0,5199024,C,G,C,C,F,2.5275,2.0,1.0,4034330.0,kat1,0.0,7.9,entity16,1,3
36,0,CN,K,149216.0,0.0,5416.0,16587.0,16967.0,15555.0,90391.0,2996.0,0.0,14547.0,9301.0,4160.0,113972.0,136,46663.0,0.0,21736,0,9061.0,6179842,C,G,C,P,F,5.3928,2.0,1.0,4267773.0,kat3,0.0,3.0,entity16,1,4
37,0,AF,H,1447778.0,7642.0,114199.0,39999.0,30493.0,30988.0,1450822.0,181905.0,673657.0,446421.0,122259.0,307746.0,1945774.0,2985,1304896.0,4372.0,150869,34263,36489.0,7215645,C,G,C,P,F,3.8417,2.0,1.0,4752076.0,kat6,0.6,4.0,entity16,1,4
38,0,BH,C,519124.0,98467.0,13697.0,9983.0,-6796.0,-6579.0,33202.0,3037.0,0.0,491145.0,158293.0,334249.0,522076.0,0,75490.0,247991.0,23414,0,2788.0,1842376,A,C,C,J,F,0.3706,2.0,1.0,1858734.0,kat4,18.8,0.4,entity16,1,5
39,0,BH,C,481286.0,0.0,153364.0,70602.0,41260.0,40417.0,152061.0,3009.0,0.0,746780.0,499335.0,234151.0,1375930.0,37,776379.0,2884.0,465086,0,32271.0,4358169,C,G,C,C,F,3.59,2.0,1.0,2388128.0,kat3,0.0,3.0,entity8,1,6
40,0,BF,D,3801069.0,0.0,219221.0,39849.0,62608.0,56239.0,1770990.0,21179.0,0.0,5729683.0,91160.0,5671110.0,7801445.0,243064,1175435.0,367053.0,1686245,389965,3258769.0,38109713,D,A,C,G,B,0.0,2.0,2.0,6768529.0,kat7,0.0,3.1,entity3,1,3
41,0,BJ,I,106285.0,0.0,1667.0,6117.0,5418.0,5073.0,77168.0,3047.0,0.0,48801.0,1908.0,47216.0,120972.0,0,11530.0,0.0,33651,0,1804.0,22209861,A,C,C,L,B,4.1151,2.0,1.0,6575251.0,kat3,0.0,1.0,entity2,1,4
42,0,BH,C,81840.0,0.0,2486.0,-1359.0,-1800.0,-2043.0,12990.0,3064.0,38.0,16959.0,1846.0,14500.0,29806.0,0,12081.0,0.0,1199,0,295.0,8474875,A,C,C,L,B,4.1175,2.0,1.0,707916.0,kat3,0.0,1.0,entity2,1,3
43,0,BH,C,5478479.0,482629.0,41298.0,139461.0,132185.0,122594.0,609840.0,869919.0,38742.0,1218222.0,61881.0,1209198.0,1957841.0,535,513998.0,640977.0,230111,0,9311.0,2481580,A,C,C,F,B,,,,,kat5,8.8,0.1,entity9,1,6
44,0,BJ,C,11967.0,0.0,167.0,293.0,271.0,253.0,3297.0,2963.0,0.0,2327.0,0.0,2517.0,5774.0,0,101.0,0.0,967,0,3755.0,997569,A,C,C,L,C,2.5735,2.0,1.0,191265.0,kat2,0.0,0.9,entity25,1,4
45,0,BZ,C,24555.0,0.0,2983.0,3385.0,2924.0,2457.0,16562.0,3002.0,0.0,22859.0,11846.0,9144.0,37670.0,0,14305.0,0.0,18568,0,5293.0,1006243,A,C,C,L,C,4.9596,2.0,1.0,0.0,kat2,0.0,1.1,entity25,1,6
46,0,BJ,K,43063.0,0.0,356.0,967.0,790.0,665.0,19745.0,3002.0,0.0,18437.0,0.0,17466.0,39297.0,0,5230.0,5969.0,19403,0,186.0,786626,A,C,C,L,C,4.9596,2.0,1.0,21513.0,kat2,0.0,1.0,entity25,1,5
47,0,BH,C,1863977.0,0.0,17169.0,13662.0,8860.0,8809.0,57262.0,9939.0,0.0,386569.0,4020.0,368819.0,444559.0,9039,119603.0,0.0,16144,0,1888.0,7267808,A,G,C,F,B,,,,,kat5,0.0,0.4,entity13,1,6
48,0,BJ,D,826333.0,0.0,3509.0,56963.0,56624.0,54755.0,215665.0,117.0,0.0,18812.0,0.0,17331.0,251462.0,686,24296.0,99732.0,38214,40,56840.0,10023794,C,G,C,C,F,11.6716,2.0,1.0,7735362.0,kat4,0.0,7.2,entity16,1,6
49,0,CB,D,4398.0,0.0,1131.0,-360.0,-632.0,-635.0,76.0,19.0,0.0,5693.0,3901.0,1612.0,5633.0,0,4598.0,0.0,17,0,916.0,2601192,C,G,C,P,F,8.3799,2.0,1.0,2111946.0,kat1,0.0,6.6,entity16,1,6
50,0,BI,F,6357467.0,708317.0,72585.0,502237.0,443786.0,422454.0,2649845.0,14444.0,0.0,613100.0,142227.0,453099.0,3333307.0,44668,313693.0,0.0,541011,0,323780.0,90741781,A,C,C,L,C,1.66,2.0,1.0,6005175.0,kat6,11.2,1.0,entity16,1,6
51,0,CJ,D,10946617.0,547479.0,150537.0,121252.0,104764.0,93409.0,1004835.0,140009.0,0.0,3729153.0,0.0,3739167.0,4828450.0,310917,79557.0,8158.0,3787374,0,86603.0,197155534,A,C,C,J,C,1.66,2.0,2.0,198918574.0,kat9,5.0,0.9,entity16,1,6
52,0,AH,C,452022.0,0.0,14385.0,29897.0,26009.0,25278.0,125198.0,3014.0,0.0,66988.0,8677.0,59328.0,188397.0,0,72573.0,0.0,16141,0,80770.0,34636437,A,C,C,L,C,0.0,2.0,1.0,0.0,kat5,0.0,0.9,entity16,1,5
53,0,AQ,C,507450.0,0.0,16049.0,12759.0,7367.0,7131.0,76153.0,2981.0,0.0,250220.0,95946.0,164712.0,346849.0,25,202944.0,19.0,125031,0,23598.0,29899997,C,C,C,G,B,4.3425,2.0,1.0,17500861.0,kat5,0.0,5.0,entity28,1,5
54,0,BE,D,41578920.0,0.0,103311.0,4018192.0,5134170.0,5009206.0,9423936.0,14727.0,0.0,14737765.0,647998.0,14940551.0,24634975.0,10660,425283.0,3491287.0,8998834,0,8479910.0,10376836,D,A,C,G,B,0.0,2.0,1.0,2060682.0,kat7,0.0,4.4,entity3,1,4
55,0,AC,C,145840.0,0.0,20262.0,25666.0,25694.0,25238.0,122801.0,3057.0,37711.0,57482.0,45862.0,11810.0,181305.0,0,130579.0,0.0,35463,0,1203.0,17767485,A,C,C,L,B,2.36,2.0,1.0,1325469.0,kat3,0.0,1.0,entity2,1,2
56,0,BJ,D,347400.0,0.0,2878.0,7089.0,6850.0,6816.0,9324.0,3016.0,0.0,7822.0,0.0,3885.0,18037.0,0,12549.0,0.0,4637,0,1210.0,20532473,A,C,C,L,B,2.468,2.0,1.0,1367547.0,kat3,0.0,1.0,entity2,1,4
57,0,BK,F,593988.0,0.0,60974.0,9626.0,3847.0,3380.0,205592.0,12632.0,0.0,154955.0,83779.0,56693.0,343286.0,0,195719.0,0.0,109831,0,14928.0,27312,C,G,B,C,F,,,,,kat4,0.0,2.0,entity29,1,3
58,0,BI,H,567733.0,0.0,47445.0,16391.0,8364.0,7387.0,95073.0,5162.0,0.0,449203.0,89137.0,371036.0,560760.0,235,101328.0,5.0,91415,0,13435.0,9555575,C,G,C,P,F,4.455,2.0,2.0,5293193.0,kat5,0.0,3.1,entity10,1,9
59,0,BH,C,4315927.0,511456.0,56042.0,54279.0,45466.0,43959.0,793544.0,49547.0,0.0,987830.0,72268.0,910059.0,1866227.0,1525,958885.0,91875.0,159149,0,22625.0,8066897,A,C,C,F,B,,,,,kat5,12.0,0.1,entity9,1,9
60,0,BI,E,45463.0,0.0,1116.0,351.0,356.0,286.0,16594.0,3073.0,0.0,6313.0,0.0,6423.0,22199.0,0,5887.0,0.0,7968,0,2016.0,8096176,A,C,C,L,B,3.9233,2.0,1.0,7916151.0,kat2,0.0,1.0,entity31,1,6
61,0,BI,E,1559607.0,0.0,3830.0,36936.0,34114.0,30532.0,185332.0,100811.0,0.0,267186.0,0.0,261953.0,448627.0,1354,33312.0,0.0,229125,0,947.0,12872,A,C,B,I,F,,2.0,1.0,15056977.0,kat3,0.0,0.5,entity32,1,6
62,0,BK,F,3712200.0,2808805.0,413497.0,153182.0,112409.0,101608.0,1197025.0,25323.0,7248.0,1402019.0,691701.0,655022.0,2515056.0,392,2253693.0,9425.0,259187,0,140841.0,41683,C,G,B,B,F,,,,,kat7,76.9,3.1,entity15,1,9
63,0,AB,E,315621.0,0.0,10180.0,4014.0,1425.0,1266.0,73726.0,31764.0,1825.0,249352.0,210698.0,43457.0,336012.0,0,154733.0,0.0,23704,0,116.0,9927676,A,C,C,L,B,4.1711,2.0,1.0,10005518.0,kat4,0.0,1.0,entity33,1,6
64,0,BH,C,952108.0,0.0,2105.0,-13341.0,-22899.0,-25332.0,-17197.0,2931.0,0.0,363093.0,0.0,360929.0,359505.0,0,11494.0,0.0,17454,0,21276.0,1120485,A,C,C,J,F,,2.0,1.0,,kat4,0.0,0.5,entity16,1,9
65,0,AC,C,191628.0,0.0,16754.0,10017.0,7955.0,7037.0,239205.0,5032.0,0.0,41052.0,0.0,42221.0,278150.0,107,129930.0,92.0,74567,0,6104.0,50709146,A,C,C,L,B,3.1085,2.0,1.0,3098207.0,kat3,0.0,1.0,entity2,1,3
66,0,BK,F,407473.0,0.0,39973.0,18079.0,12696.0,14226.0,57174.0,15361.0,0.0,196907.0,142239.0,55321.0,262540.0,26,169937.0,0.0,92661,0,4464.0,21648669,C,G,C,H,F,1.8659,2.0,1.0,9813752.0,kat4,0.0,4.0,entity10,1,10
67,0,BH,C,425682.0,0.0,123840.0,100235.0,90166.0,83523.0,422307.0,3008.0,0.0,197889.0,51438.0,148932.0,646038.0,349,514864.0,41.0,44334,30551,52821.0,4001367,C,G,C,P,F,1.8687,2.0,1.0,2276114.0,kat4,0.0,2.1,entity10,1,10
68,0,BH,E,50781.0,0.0,941.0,3609.0,3711.0,3187.0,10555.0,2945.0,0.0,6837.0,2960.0,4002.0,18801.0,0,4435.0,0.0,992,0,483.0,4545387,C,G,C,C,F,2.5001,2.0,1.0,0.0,kat1,0.0,5.0,entity13,1,10
69,0,BK,E,12224.0,0.0,2695.0,2146.0,1541.0,1389.0,8150.0,3002.0,0.0,8284.0,3535.0,4714.0,15891.0,0,14457.0,0.0,989,0,923.0,3334717,C,G,C,P,F,8.3798,2.0,1.0,2260761.0,kat2,0.0,3.0,entity16,1,10
70,0,BH,C,8291635.0,155156.0,36288.0,230460.0,221917.0,212949.0,510073.0,4965.0,0.0,1067341.0,315842.0,757367.0,1631320.0,3289,693485.0,0.0,250780,0,98496.0,5776396,A,C,C,J,F,0.3706,2.0,1.0,5789791.0,kat6,1.9,0.5,entity16,1,10
71,0,AB,I,98636.0,0.0,3675.0,15739.0,15563.0,15651.0,54641.0,2951.0,0.0,16480.0,0.0,16972.0,70309.0,0,23442.0,0.0,43841,0,1003.0,10009942,A,C,C,L,B,4.1151,2.0,1.0,889809.0,kat4,0.0,1.0,entity2,1,9
72,0,AT,D,3933983.0,744425.0,113838.0,290274.0,289305.0,285068.0,3512811.0,50485.0,0.0,2252568.0,322401.0,1943761.0,6376591.0,424326,1079036.0,41402.0,1932340,0,2104195.0,100800076,A,C,C,L,B,0.0034,2.0,1.0,19012116.0,kat7,18.5,0.9,entity2,1,9
73,0,BG,D,516390.0,0.0,15901.0,57077.0,52077.0,52657.0,367878.0,2926.0,149250.0,318754.0,7463.0,295989.0,674283.0,1952,476284.0,0.0,179608,0,1401.0,79392390,A,C,C,G,B,3.1875,2.0,1.0,60695089.0,kat5,0.0,1.0,entity35,1,11
74,0,BH,C,1911313.0,0.0,5168.0,100635.0,111454.0,93032.0,256055.0,2932.0,0.0,205606.0,8368.0,213536.0,474831.0,635,43830.0,0.0,27181,0,237394.0,4089529,A,C,C,F,B,,,,,kat4,0.0,0.5,entity9,1,11
75,1,BQ,C,29989.0,0.0,880.0,1516.0,1348.0,1341.0,832.0,3023.0,0.0,7277.0,1877.0,5454.0,8330.0,0,4901.0,0.0,245,0,34.0,2209729,C,G,C,C,F,13.9435,2.0,1.0,0.0,kat2,0.0,5.0,entity13,1,11
76,0,AB,C,518460.0,0.0,20682.0,3593.0,4014.0,2964.0,315064.0,2929.0,0.0,36133.0,2983.0,34365.0,349574.0,0,198271.0,0.0,83356,0,48911.0,4575267,C,G,C,P,F,0.0,2.0,1.0,2682367.0,kat6,0.0,4.0,entity18,1,6
77,0,BI,H,253931.0,0.0,2987.0,21133.0,22059.0,20375.0,146665.0,2989.0,0.0,36628.0,0.0,37812.0,192801.0,28,47348.0,0.0,107230,0,10813.0,12451094,D,A,C,F,B,1.0038,2.0,1.0,0.0,kat5,0.0,5.0,entity16,1,10
78,0,BK,F,343346.0,0.0,17572.0,23968.0,15435.0,15219.0,32638.0,6523.0,0.0,98854.0,20348.0,79241.0,132670.0,0,65635.0,0.0,59427,0,2671.0,1979968,C,G,C,P,F,4.9131,2.0,1.0,1536667.0,kat4,0.0,2.1,entity10,1,12
79,0,BK,F,29019.0,0.0,2023.0,637.0,394.0,293.0,2191.0,35.0,0.0,9583.0,2267.0,8897.0,14288.0,0,6939.0,0.0,6105,0,354.0,3267118,C,G,C,P,F,2.8888,2.0,1.0,2778390.0,kat2,0.0,6.1,entity10,1,12
80,1,BK,F,205749.0,0.0,11618.0,1955.0,875.0,479.0,55110.0,2945.0,0.0,102208.0,48833.0,56402.0,167256.0,0,70709.0,0.0,73375,0,17310.0,4963892,C,G,C,P,F,1.9086,2.0,1.0,3127601.0,kat4,0.0,2.1,entity10,1,12
81,0,BK,F,207353.0,0.0,15289.0,30065.0,27637.0,25546.0,55426.0,6521.0,0.0,91198.0,59487.0,32942.0,147322.0,0,90518.0,0.0,57060,0,1607.0,9789,C,G,B,H,F,2.1371,2.0,2.0,137257.0,kat3,0.0,3.0,entity10,1,12
82,0,BN,C,1038044.0,69620.0,50429.0,179780.0,131863.0,113109.0,1204784.0,117689.0,0.0,223478.0,0.0,216849.0,1588649.0,290,441345.0,163102.0,240569,0,667752.0,15352589,B,A,C,J,C,16.2857,2.0,1.0,3122237.0,kat6,6.7,1.0,entity12,1,10
83,0,CC,D,11562.0,0.0,479.0,396.0,296.0,254.0,6135.0,3025.0,0.0,2936.0,2580.0,542.0,9115.0,0,1566.0,0.0,892,0,3580.0,2024004,A,C,C,L,C,4.9596,2.0,1.0,114138.0,kat1,0.0,1.0,entity25,1,9
84,0,CM,D,9710578.0,0.0,85763.0,454999.0,455732.0,441850.0,1251783.0,50772.0,0.0,3711681.0,0.0,3659701.0,4965134.0,8020,136596.0,109216.0,3580891,0,1065936.0,112202200,D,A,C,N,B,,2.0,1.0,109233924.0,kat3,0.0,50.0,entity25,1,10
85,0,BI,F,87711.0,0.0,5247.0,1979.0,1583.0,1423.0,29137.0,2962.0,0.0,68665.0,6469.0,54848.0,98351.0,0,15739.0,0.0,31550,0,15178.0,7892670,A,C,C,L,H,2.9588,2.0,1.0,140535.0,kat2,0.0,1.0,entity24,1,9
86,0,BI,F,237788.0,0.0,950.0,13734.0,12063.0,10286.0,55434.0,17.0,0.0,117130.0,3917.0,106233.0,164706.0,0,7321.0,0.0,67556,0,34453.0,20974021,A,C,C,L,C,4.2299,2.0,1.0,9866947.0,kat3,0.0,1.0,entity16,1,11
87,1,CE,D,871080.0,0.0,40215.0,120407.0,129375.0,118735.0,393003.0,3028.0,0.0,113660.0,13488.0,103647.0,517330.0,9,193087.0,0.0,193118,0,110066.0,4224135,C,G,C,C,F,5.3928,2.0,1.0,2012617.0,kat5,0.0,3.0,entity16,1,12
88,0,BJ,G,96091.0,0.0,1866.0,1258.0,690.0,522.0,5688.0,1712.0,0.0,25859.0,3974.0,23373.0,32570.0,962,7448.0,0.0,1266,0,1915.0,3102063,C,C,C,I,F,2.9165,2.0,1.0,355924.0,kat3,0.0,3.0,entity24,1,9
89,0,BI,E,708352.0,0.0,25181.0,7170.0,3788.0,3868.0,88664.0,6056.0,0.0,353178.0,79370.0,199042.0,524460.0,61,320625.0,5082.0,101378,0,621.0,50620955,A,C,C,L,B,4.1212,2.0,1.0,13859477.0,kat5,0.0,1.0,entity2,1,9
90,0,AQ,H,856014.0,340817.0,142937.0,21782.0,192018.0,199861.0,691408.0,49564.0,0.0,1348015.0,414683.0,901429.0,2261273.0,40073,1148552.0,156008.0,269485,146478,8733.0,7071,B,A,B,G,B,,2.0,1.0,0.0,kat6,39.7,0.3,entity2,1,6
91,0,CD,C,183787.0,0.0,2392.0,9117.0,9463.0,8616.0,40812.0,25759.0,0.0,85420.0,0.0,85473.0,119222.0,0,8714.0,0.0,96217,0,10873.0,3723273,C,C,C,J,C,3.931,2.0,1.0,89653.0,kat1,0.0,,entity12,1,13
92,0,AB,E,617127.0,0.0,44825.0,19107.0,5616.0,4297.0,1237064.0,60385.0,1220020.0,666321.0,202751.0,449540.0,1994083.0,87,1551594.0,0.0,242637,0,47242.0,225358725,A,C,C,J,C,3.1367,2.0,1.0,209475059.0,kat4,0.0,0.6,entity1,1,12
93,0,AT,C,477122.0,0.0,38028.0,25208.0,21705.0,21744.0,260476.0,4131.0,0.0,192189.0,15336.0,161877.0,478720.0,2941,220627.0,1258.0,122671,0,43438.0,5069973,C,G,C,C,F,4.8126,2.0,1.0,0.0,kat4,0.0,4.0,entity13,1,13
94,0,BH,C,6125531.0,543801.0,107179.0,209197.0,192359.0,190275.0,218696.0,7990.0,11028.0,2056334.0,0.0,1989646.0,2209650.0,1,659000.0,2972.0,254005,0,6369.0,10790202,A,C,C,F,B,,,,,kat6,8.9,0.2,entity22,1,13
